Gender,Age at time of application,Year of Application,A-levels scores,Education,University Name,Address,Current Employment,Current Employment Sector,Current Annual Income,References Submitted,Refree 1,Refree 2,Refree 3,Was Hired by a Company within 6 months
Trans,47,2013,62,Business,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Merionethshire,Salaried,Engineering,147698,1,Salaried:Accounting,Salaried:Law,Self Business:IT,0
Female,47,2012,76,STEM,KINGSTON UNIVERSITY,West Sussex,Self Business,Engineering,100791,0,NA,NA,NA,0
Non-binary,43,2022,76,STEM,UNIVERSITY OF CAMBRIDGE,Caernarvonshire,None,None,47714,1,Salaried:Health,Self Business:Health,Salaried:Accounting,0
Trans,42,2006,68,Arts,ROYAL ACADEMY OF MUSIC,Greater London,None,None,133241,0,NA,NA,NA,0
Female,47,2009,64,Law,UNIVERSITY OF SURREY,Essex,Salaried,IT,76365,0,NA,NA,NA,0
Trans,49,2014,44,Business,UNIVERSITY OF CAMBRIDGE,Essex,None,None,76667,0,NA,NA,NA,0
Non-binary,49,2002,51,Business,UNIVERSITY OF SUNDERLAND,Tyne and Wear,Contractual,Law,72699,0,NA,NA,NA,0
Trans,43,2022,58,Business,UNIVERSITY OF SUNDERLAND,Derry and Londonderry,Contractual,Engineering,51816,0,NA,NA,NA,0
Non-binary,49,2008,50,Business,LEEDS METROPOLITAN UNIVERSITY,Northamptonshire,Contractual,Engineering,83712,1,Self Business:Law,Contractual:Law,Contractual:Accounting,0
Female,41,2015,54,STEM,THE UNIVERSITY OF MANCHESTER,South Lanarkshire,None,None,0,0,NA,NA,NA,0
Female,48,2010,86,Business,UNIVERSITY OF CHESTER,Kent,Salaried,Transportation,106481,1,Self Business:IT,Salaried:Arts,Contractual:Health,1
Non-binary,46,2000,51,Arts,IMPERIAL COLLEGE LONDON,Leicestershire,Contractual,Engineering,85666,0,NA,NA,NA,0
Non-binary,45,2001,45,Law,UNIVERSITY OF BRIGHTON,Staffordshire,None,None,0,1,Salaried:Law,Contractual:Law,Contractual:Accounting,0
Trans,43,2011,44,Law,UNIVERSITY OF BRISTOL,South Ayrshire,None,None,0,1,Contractual:Arts,Salaried:Engineering,Contractual:Arts,0
Non-binary,49,2011,81,Business,Universirt of Cambridge,Norfolk,Salaried,Health,42416,1,Self Business:Law,Self Business:IT,Contractual:Health,1
Non-binary,44,2019,51,Business,THE CONSERVATOIRE FOR DANCE AND DRAMA,East Ayrshire,Self Business,Transportation,142950,0,NA,NA,NA,0
Trans,40,2002,43,Business,UNIVERSITY COLLEGE BIRMINGHAM,Radnorshire,Salaried,Transportation,64870,0,NA,NA,NA,0
Female,43,2021,43,Arts,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Monmouthshire,Salaried,Accounting,86171,1,Contractual:Transportation,Salaried:Law,Self Business:Health,0
Female,48,2020,53,Arts,OXFORD BROOKES UNIVERSITY,Monmouthshire,None,None,0,1,Self Business:Law,Salaried:Transportation,Salaried:Law,0
Female,43,2011,70,STEM,UNIVERSITY OF SUSSEX,Derbyshire,Self Business,Transportation,141587,0,NA,NA,NA,0
Non-binary,47,2005,45,Arts,UNIVERSITY OF LIVERPOOL,Devon,None,None,0,0,NA,NA,NA,0
Male,45,2000,73,STEM,FALMOUTH UNIVERSITY,Surrey,None,None,0,0,NA,NA,NA,0
Male,47,2002,57,Law,KING'S COLLEGE LONDON,North Lanarkshire,Contractual,Accounting,138747,0,NA,NA,NA,0
Non-binary,47,2009,71,Business,MIDDLESEX UNIVERSITY,West Yorkshire,None,None,63318,1,Contractual:Transportation,Salaried:Engineering,Self Business:Arts,0
Female,44,2007,70,Arts,STAFFORDSHIRE UNIVERSITY,Hertfordshire,Self Business,Law,0,1,Salaried:Arts,Salaried:Health,Contractual:Accounting,1
Trans,43,2015,49,Law,ROYAL NORTHERN COLLEGE OF MUSIC,Caernarvonshire,Salaried,Accounting,146126,1,Salaried:Arts,Salaried:Accounting,Salaried:Transportation,0
Female,45,1999,87,Law,Universirt of Cambridge,South Yorkshire,Self Business,Health,127414,1,Salaried:IT,Salaried:Law,Contractual:Transportation,1
Female,45,2021,45,Law,LONDON SOUTH BANK UNIVERSITY,Lincolnshire,None,None,0,1,Self Business:IT,Self Business:Engineering,Salaried:Health,0
Female,48,2007,64,STEM,UNIVERSITY OF KENT,Hertfordshire,Salaried,Transportation,120068,0,NA,NA,NA,0
Non-binary,42,2015,76,Law,"UNIVERSITY OF NORTHAMPTON,THE",Kent,None,None,0,0,NA,NA,NA,0
Female,43,2016,57,Law,LIVERPOOL JOHN MOORES UNIVERSITY,Dorset,Self Business,Law,143133,0,NA,NA,NA,0
Trans,42,2022,41,STEM,UNIVERSITY OF BEDFORDSHIRE,Somerset,None,None,0,0,NA,NA,NA,0
Trans,43,2004,69,Arts,UNIVERSITY OF LONDON,Glamorgan,Contractual,Law,83817,1,Contractual:Transportation,Self Business:Law,Salaried:Health,0
Non-binary,45,2014,69,STEM,UNIVERSITY OF ULSTER,Glamorgan,Salaried,IT,84195,1,Contractual:Health,Contractual:Arts,Contractual:IT,0
Male,40,2004,50,STEM,SOUTHAMPTON SOLENT UNIVERSITY,Anglesey,Contractual,IT,88594,0,NA,NA,NA,0
Non-binary,41,2018,58,Business,ASTON UNIVERSITY,Buckinghamshire,Salaried,IT,96371,1,Self Business:Transportation,Self Business:Health,Self Business:Law,0
Female,41,2012,77,Law,LIVERPOOL JOHN MOORES UNIVERSITY,East Renfrewshire,Salaried,Accounting,122174,0,NA,NA,NA,0
Trans,41,1998,67,Arts,IMPERIAL COLLEGE LONDON,East Sussex,Salaried,Arts,140653,1,Salaried:IT,Contractual:Accounting,Contractual:Transportation,0
Non-binary,46,2022,59,Business,MANCHESTER METROPOLITAN UNIVERSITY,Derbyshire,Self Business,Health,63712,0,NA,NA,NA,0
Female,41,2012,41,Arts,HERIOT-WATT UNIVERSITY,Devon,Salaried,IT,41419,1,Self Business:Health,Contractual:Accounting,Contractual:Health,0
Non-binary,42,2020,48,STEM,UNIVERSITY OF ST MARK & ST JOHN,Clackmannanshire,None,None,0,0,NA,NA,NA,0
Male,42,2016,85,STEM,IMPERIAL COLLEGE LONDON,Hertfordshire,Self Business,Transportation,47919,1,Self Business:Health,Salaried:Law,Contractual:Health,1
Non-binary,48,1999,89,STEM,UNIVERSITY OF DERBY,Berkshire,Salaried,IT,80544,1,Self Business:Health,Salaried:Law,Contractual:Accounting,1
Non-binary,49,2011,50,STEM,LONDON METROPOLITAN UNIVERSITY,Durham,Salaried,Engineering,126475,0,NA,NA,NA,0
Female,48,2012,52,Arts,UNIVERSITY OF STIRLING,Essex,None,None,0,0,NA,NA,NA,0
Male,41,2008,74,Business,UNIVERSITY OF HUDDERSFIELD,Essex,None,None,91678,1,Contractual:Transportation,Contractual:Transportation,Salaried:Arts,0
Female,48,2008,40,Law,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,North Yorkshire,Self Business,Arts,48088,1,Contractual:Accounting,Contractual:Health,Contractual:IT,0
Non-binary,49,2004,42,STEM,QUEEN MARY UNIVERSITY OF LONDON,Kent,None,None,0,1,Self Business:IT,Contractual:Accounting,Contractual:Law,0
Female,48,1999,52,Arts,"UNIVERSITY OF SALFORD, THE",Kent,Contractual,IT,85046,1,Contractual:Arts,Salaried:Arts,Self Business:Health,0
Trans,49,2002,72,Arts,OPEN UNIVERSITY(THE),Buckinghamshire,None,None,0,1,Salaried:Law,Salaried:Transportation,Self Business:Health,0
Trans,44,2007,56,Arts,COVENTRY UNIVERSITY,Breconshire,Contractual,Transportation,116260,1,Contractual:IT,Salaried:Law,Salaried:Law,0
Non-binary,44,2018,81,Business,University College London,Suffolk,Self Business,Law,89023,1,Self Business:Engineering,Salaried:Engineering,Contractual:Law,1
Non-binary,45,2003,83,Law,UNIVERSITY OF SUNDERLAND,Perth and Kinross,Contractual,IT,142901,1,Self Business:Law,Contractual:Health,Salaried:Transportation,1
Trans,47,2017,55,STEM,UNIVERSITY OF STIRLING,South Ayrshire,Contractual,Accounting,92631,0,NA,NA,NA,0
Non-binary,41,2014,68,Arts,STRANMILLIS UNIVERSITY COLLEGE,Hertfordshire,Self Business,Arts,72898,0,NA,NA,NA,0
Non-binary,46,2016,44,Arts,UNIVERSITY OF CHESTER,Aberdeen City,None,None,0,1,Salaried:Health,Self Business:IT,Salaried:Accounting,0
Male,45,2018,61,Business,UNIVERSITY OF BRADFORD,Moray,None,None,0,1,Contractual:Arts,Self Business:Transportation,Self Business:Engineering,0
Female,42,2021,86,Business,Universirt of Cambridge,Flintshire,Contractual,Law,113351,1,Salaried:Arts,Salaried:IT,Contractual:Accounting,1
Non-binary,47,2014,80,Business,THE ROBERT GORDON UNIVERSITY,Kent,Self Business,Accounting,111437,1,Salaried:Law,Salaried:Arts,Contractual:Health,1
Trans,49,2000,49,Arts,NOTTINGHAM TRENT UNIVERSITY,Orkney Islands,Self Business,IT,112041,1,Contractual:Health,Contractual:Engineering,Self Business:Accounting,0
Male,42,2003,84,Law,GLASGOW SCHOOL OF ART.,Berkshire,Contractual,IT,93197,1,Salaried:Arts,Self Business:Arts,Contractual:Health,1
Male,45,2009,50,STEM,CARDIFF UNIVERSITY,Northumberland,Self Business,Law,115050,0,NA,NA,NA,0
Trans,45,2012,61,Arts,"UNIVERSITY OF NOTTINGHAM, THE",Antrim,None,None,0,1,Salaried:IT,Contractual:Accounting,Contractual:Law,0
Non-binary,44,2005,58,Business,CANTERBURY CHRIST CHURCH UNIVERSITY,Northumberland,Self Business,Arts,48957,0,NA,NA,NA,0
Male,47,2002,67,Law,"UNIVERSITY OF NOTTINGHAM, THE",Kent,Salaried,IT,99523,0,NA,NA,NA,0
Male,44,2011,89,Law,UNIVERSITY OF LONDON,Essex,Salaried,Arts,120210,1,Self Business:IT,Self Business:Law,Contractual:Engineering,1
Male,43,2015,42,Business,UNIVERSITY OF BOLTON,Breconshire,None,None,0,1,Self Business:Accounting,Salaried:Law,Contractual:Law,0
Female,48,2014,59,Law,UNIVERSITY OF SUNDERLAND,Orkney Islands,None,None,129120,0,NA,NA,NA,0
Female,45,2015,53,Law,THE ROBERT GORDON UNIVERSITY,Staffordshire,Self Business,Law,78168,0,NA,NA,NA,0
Female,42,2015,61,STEM,UNIVERSITY OF BATH (THE),Highland,Contractual,Health,121420,0,NA,NA,NA,0
Non-binary,48,2012,89,Law,IMPERIAL COLLEGE LONDON,Highland,Self Business,Law,0,1,Salaried:Law,Salaried:Law,Contractual:Transportation,1
Male,43,2004,68,Law,MANCHESTER METROPOLITAN UNIVERSITY,Argyll and Bute,None,None,87209,0,NA,NA,NA,0
Non-binary,42,2001,47,STEM,FALMOUTH UNIVERSITY,Warwickshire,Self Business,Health,134202,0,NA,NA,NA,0
Male,42,2000,46,Arts,BIRMINGHAM CITY UNIVERSITY,Caernarvonshire,None,None,0,0,NA,NA,NA,0
Non-binary,41,2007,72,STEM,UNIVERSITY OF LEEDS,Breconshire,Self Business,Engineering,63822,1,Salaried:Health,Self Business:Accounting,Self Business:Arts,0
Male,41,2004,71,Business,IMPERIAL COLLEGE LONDON,Staffordshire,Contractual,IT,74676,1,Salaried:Law,Self Business:IT,Contractual:Accounting,1
Trans,44,2014,88,Arts,UNIVERSITY COLLEGE LONDON,Kent,Self Business,Arts,126816,1,Self Business:Engineering,Salaried:IT,Contractual:Engineering,1
Non-binary,48,2013,87,Law,THE CONSERVATOIRE FOR DANCE AND DRAMA,Cumbria,Contractual,IT,145735,1,Self Business:Engineering,Salaried:Health,Contractual:Transportation,1
Trans,42,2012,58,Business,LOUGHBOROUGH UNIVERSITY,Norfolk,Contractual,Transportation,129667,1,Contractual:Law,Self Business:IT,Self Business:Accounting,0
Male,41,2020,79,STEM,UNIVERSITY OF GREENWICH,West Dunbartonshire,None,None,71240,0,NA,NA,NA,0
Male,44,2021,67,STEM,UNIVERSITY OF CENTRAL LANCASHIRE,Warwickshire,Salaried,Health,105706,1,Contractual:Health,Contractual:Health,Salaried:IT,0
Female,47,2001,79,STEM,"UNIVERSITY OF SALFORD, THE",Durham,Contractual,Law,91287,0,NA,NA,NA,0
Male,41,2002,71,Business,STAFFORDSHIRE UNIVERSITY,Glamorgan,Salaried,Transportation,104513,1,Salaried:Accounting,Salaried:Engineering,Contractual:Law,1
Trans,45,2016,80,Law,WRITTLE COLLEGE,South Ayrshire,Contractual,Accounting,125986,1,Contractual:Engineering,Self Business:Engineering,Contractual:Arts,0
Female,48,2013,61,Business,IMPERIAL COLLEGE LONDON,Caernarvonshire,Self Business,Engineering,42426,0,NA,NA,NA,0
Female,48,2003,75,Law,UNIVERSITY OF WALES: TRINITY SAINT DAVID,Essex,Salaried,Engineering,144621,1,Salaried:Health,Salaried:Arts,Contractual:Arts,1
Female,48,2003,64,STEM,UNIVERSITY OF PORTSMOUTH,Staffordshire,None,None,75077,1,Contractual:Law,Salaried:Arts,Self Business:Transportation,0
Trans,40,2019,78,Law,UNIVERSITY OF KEELE,Armagh,Self Business,Health,95073,1,Contractual:Transportation,Self Business:Transportation,Self Business:Arts,0
Non-binary,43,2002,47,STEM,OPEN UNIVERSITY(THE),Merseyside,None,None,0,0,NA,NA,NA,0
Non-binary,46,2002,43,Law,UNIVERSITY OF ABERDEEN,Cleveland,Salaried,IT,59983,0,NA,NA,NA,0
Non-binary,43,2010,52,STEM,UNIVERSITY OF SOUTH WALES/PRIFYSGOL DE CYMRU,Down,Self Business,IT,142471,1,Self Business:Health,Self Business:Engineering,Contractual:IT,0
Trans,44,2011,72,Business,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Aberdeenshire,Self Business,Health,85578,1,Self Business:Accounting,Self Business:Accounting,Self Business:Arts,0
Non-binary,42,2000,81,Business,LIVERPOOL JOHN MOORES UNIVERSITY,East Sussex,Contractual,IT,42287,1,Self Business:Transportation,Salaried:IT,Contractual:Health,1
Non-binary,40,2022,87,Law,UNIVERSITY OF ESSEX,Dumfries and Galloway,Contractual,Arts,45716,1,Self Business:Arts,Self Business:IT,Contractual:Transportation,1
Non-binary,47,2020,83,Arts,KINGSTON UNIVERSITY,Cheshire,Salaried,Engineering,98441,1,Self Business:Arts,Salaried:Transportation,Contractual:Law,1
Non-binary,41,2015,53,Arts,UNIVERSITY OF ST MARK & ST JOHN,Renfrewshire,Contractual,Transportation,87416,1,Salaried:Accounting,Contractual:Accounting,Contractual:Law,0
Non-binary,48,2007,51,Arts,DE MONTFORT UNIVERSITY,City of Edinburgh,None,None,0,0,NA,NA,NA,0
Non-binary,41,2012,77,Arts,UNIVERSITY OF PORTSMOUTH,Inverclyde,Contractual,Transportation,111681,0,NA,NA,NA,0
Male,44,2013,83,Business,UNIVERSITY OF WARWICK,Derry and Londonderry,Contractual,Arts,112052,1,Salaried:Accounting,Salaried:Law,Contractual:IT,1
Male,47,2000,44,STEM,BUCKINGHAMSHIRE NEW UNIVERSITY,Dundee City,Self Business,IT,143692,1,Salaried:Law,Contractual:IT,Contractual:Accounting,0
Female,49,1998,68,Business,ROYAL ACADEMY OF MUSIC,Carmarthenshire,Self Business,Transportation,47735,1,Salaried:Transportation,Contractual:Law,Salaried:IT,0
Trans,40,2013,52,Arts,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),City of Edinburgh,Self Business,Health,84683,0,NA,NA,NA,0
Trans,42,2019,74,STEM,BOURNEMOUTH UNIVERSITY,West Midlands,None,None,0,0,NA,NA,NA,0
Non-binary,46,2012,81,STEM,COURTAULD INSTITUTE OF ART,Surrey,Salaried,Health,138897,1,Self Business:Accounting,Self Business:Transportation,Contractual:Accounting,1
Male,48,2021,42,STEM,THE ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA,Warwickshire,None,None,114546,1,Salaried:Arts,Self Business:Accounting,Salaried:Transportation,0
Trans,43,2013,87,Arts, University of Oxford,Renfrewshire,Contractual,Accounting,0,1,Self Business:IT,Salaried:Transportation,Contractual:Arts,1
Male,47,2012,58,Law,QUEEN'S UNIVERSITY OF BELFAST,Tyrone,Contractual,Engineering,69350,0,NA,NA,NA,0
Trans,41,2016,41,Business,OXFORD BROOKES UNIVERSITY,Anglesey,Contractual,Accounting,77820,0,NA,NA,NA,0
Non-binary,40,2009,40,Arts,IMPERIAL COLLEGE LONDON,South Yorkshire,None,None,92784,1,Salaried:Health,Contractual:Law,Self Business:Engineering,0
Male,40,2001,59,Law,UNIVERSITY OF BRADFORD,Greater Manchester,Self Business,Transportation,116990,1,Contractual:Health,Contractual:Health,Self Business:Law,0
Trans,41,2011,86,Law,BIRKBECK COLLEGE,Surrey,Salaried,Arts,123377,1,Salaried:Law,Self Business:Arts,Contractual:Arts,1
Male,48,2013,80,Business,LEEDS TRINITY UNIVERSITY,Essex,Salaried,IT,145379,1,Salaried:Law,Salaried:Law,Contractual:Arts,1
Male,40,2008,85,Law,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Norfolk,Contractual,Engineering,52440,1,Self Business:Accounting,Salaried:Engineering,Contractual:Arts,1
Trans,42,2009,48,STEM,UNIVERSITY OF BRISTOL,Tyne and Wear,Self Business,Accounting,124451,1,Self Business:Accounting,Self Business:Accounting,Contractual:Law,0
Female,46,2022,66,STEM,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,Anglesey,None,None,0,1,Contractual:Accounting,Contractual:Law,Contractual:Health,0
Female,44,1999,65,Arts,MANCHESTER METROPOLITAN UNIVERSITY,West Berkshire,None,None,0,0,NA,NA,NA,0
Non-binary,43,2000,87,Law,University College London,Fife,Self Business,Arts,134476,1,Salaried:IT,Self Business:Arts,Contractual:Accounting,1
Male,44,2018,73,Arts,THE UNIVERSITY OF CUMBRIA,Argyll and Bute,Self Business,Transportation,104786,1,Contractual:Law,Salaried:Engineering,Contractual:Law,0
Trans,45,2006,64,Law,UNIVERSITY OF GREENWICH,Fife,None,None,141503,0,NA,NA,NA,0
Male,41,2019,44,Business,UNIVERSITY CAMPUS SUFFOLK LTD,Greater Manchester,Contractual,Arts,129030,0,NA,NA,NA,0
Trans,44,2004,46,STEM,UNIVERSITY OF GLASGOW,Staffordshire,None,None,0,0,NA,NA,NA,0
Female,48,2003,73,Business,UNIVERSITY OF KENT,Bedfordshire,Contractual,Health,64626,0,NA,NA,NA,0
Non-binary,41,2014,44,Arts,ROYAL NORTHERN COLLEGE OF MUSIC,Carmarthenshire,None,None,144477,1,Salaried:IT,Self Business:Engineering,Contractual:Health,0
Trans,49,2000,43,Business,CARDIFF METROPOLITAN UNIVERSITY,Cardiganshire,Self Business,IT,143354,0,NA,NA,NA,0
Female,47,2004,56,Law,"UNIVERSITY OF NORTHAMPTON,THE",West Midlands,Salaried,Accounting,87609,0,NA,NA,NA,0
Male,42,1998,72,Arts,BATH SPA UNIVERSITY,Warwickshire,Salaried,Health,44366,1,Self Business:Law,Salaried:Accounting,Salaried:Law,0
Trans,45,2010,89,Business,UNIVERSITY OF SUSSEX,Down,Self Business,Arts,0,1,Salaried:Health,Self Business:Arts,Contractual:Law,1
Male,48,2000,72,STEM,IMPERIAL COLLEGE LONDON,West Sussex,Contractual,IT,145043,1,Self Business:Engineering,Self Business:Transportation,Contractual:Arts,1
Trans,46,2011,58,Arts,OPEN UNIVERSITY(THE),North Ayrshire,None,None,0,0,NA,NA,NA,0
Female,46,2009,56,Arts,THE UNIVERSITY OF BUCKINGHAM,Oxfordshire,None,None,0,0,NA,NA,NA,0
Trans,45,2022,83,Business, University of Oxford,Armagh,Salaried,Law,130189,1,Self Business:Law,Salaried:Arts,Contractual:Accounting,1
Non-binary,46,2014,57,STEM,UNIVERSITY OF HERTFORDSHIRE,Scottish Borders,Contractual,Accounting,93853,0,NA,NA,NA,0
Non-binary,40,2000,82,Arts,LONDON METROPOLITAN UNIVERSITY,City of Edinburgh,Self Business,Engineering,0,1,Self Business:Engineering,Self Business:Health,Contractual:Engineering,1
Male,49,2001,89,Arts,University College London,Carmarthenshire,Contractual,Transportation,112345,1,Self Business:IT,Self Business:Arts,Contractual:Engineering,1
Female,44,2006,68,Arts,UNIVERSITY OF READING,Inverclyde,Self Business,Accounting,113429,0,NA,NA,NA,0
Trans,41,2016,68,Arts,PRIFYSGOL ABERYSTWYTH,Down,Salaried,Law,95946,0,NA,NA,NA,0
Male,49,2004,40,STEM,STAFFORDSHIRE UNIVERSITY,Pembrokeshire,Self Business,Engineering,139239,1,Salaried:Transportation,Contractual:Arts,Contractual:IT,0
Trans,45,2013,66,Business,UNIVERSITY COLLEGE BIRMINGHAM,Caernarvonshire,None,None,0,1,Salaried:IT,Salaried:IT,Salaried:Law,0
Female,49,2005,45,STEM,UNIVERSITY OF BRADFORD,Armagh,None,None,98001,0,NA,NA,NA,0
Non-binary,49,2005,85,Business,TEESSIDE UNIVERSITY,Buckinghamshire,Contractual,IT,0,1,Self Business:IT,Self Business:Engineering,Contractual:Arts,1
Female,44,1998,62,STEM,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,Warwickshire,Self Business,IT,68519,0,NA,NA,NA,0
Non-binary,43,2011,43,Arts,ANGLIA RUSKIN UNIVERSITY,Derry and Londonderry,Salaried,Law,102816,0,NA,NA,NA,0
Trans,44,2014,83,Arts,UNIVERSITY OF WOLVERHAMPTON,Essex,Salaried,Arts,0,1,Salaried:IT,Self Business:Law,Contractual:Health,1
Female,48,2017,55,STEM,UNIVERSITY OF LEEDS,Montgomeryshire,None,None,0,1,Self Business:Transportation,Contractual:Health,Salaried:Accounting,0
Female,41,2003,82,Business,BOURNEMOUTH UNIVERSITY,Orkney Islands,Self Business,Engineering,112795,1,Salaried:Health,Salaried:IT,Contractual:Arts,1
Non-binary,47,2022,81,Business, University of Oxford,Devon,Contractual,Law,119080,1,Self Business:Transportation,Self Business:Engineering,Contractual:IT,1
Trans,44,2017,64,Law,UNIVERSITY OF EXETER,Dorset,None,None,0,0,NA,NA,NA,0
Female,47,2019,42,Arts,FALMOUTH UNIVERSITY,Moray,Salaried,Law,147170,0,NA,NA,NA,0
Female,43,2015,43,STEM,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,East Dunbartonshire,Contractual,Arts,55025,1,Salaried:IT,Contractual:Arts,Salaried:Transportation,0
Male,42,2007,83,Arts,IMPERIAL COLLEGE LONDON,Moray,Self Business,Law,41949,1,Salaried:Transportation,Self Business:Accounting,Contractual:Accounting,1
Female,44,2009,86,Business,University College London,Norfolk,Self Business,Transportation,0,1,Self Business:Engineering,Salaried:Health,Contractual:Health,1
Female,47,2005,78,Arts,UNIVERSITY OF BRIGHTON,Dundee City,Salaried,Transportation,137726,0,NA,NA,NA,0
Non-binary,41,2000,60,Arts,LEEDS COLLEGE OF ART,Somerset,Contractual,Accounting,102611,1,Salaried:IT,Contractual:Arts,Salaried:Transportation,0
Female,42,2019,62,STEM,LONDON SOUTH BANK UNIVERSITY,East Ayrshire,Contractual,Law,98945,0,NA,NA,NA,0
Female,46,2005,87,Business,Universirt of Cambridge,Suffolk,Self Business,Engineering,143460,1,Salaried:IT,Salaried:Arts,Contractual:Arts,1
Trans,47,2014,81,Arts,ASTON UNIVERSITY,Shropshire,Salaried,IT,76326,1,Self Business:Law,Salaried:Arts,Contractual:Transportation,1
Non-binary,45,1999,79,Arts,BISHOP GROSSETESTE UNIVERSITY,Aberdeenshire,None,None,0,1,Self Business:Arts,Contractual:Transportation,Contractual:Transportation,0
Trans,43,2018,88,Arts,ROYAL NORTHERN COLLEGE OF MUSIC,Surrey,Contractual,IT,0,1,Self Business:Arts,Self Business:Transportation,Contractual:Accounting,1
Male,47,2006,62,Arts,SCHOOL OF ORIENTAL AND AFRICAN STUDIES,Falkirk,Salaried,Accounting,127715,1,Contractual:IT,Self Business:Law,Salaried:Transportation,0
Male,40,2017,53,Business,BANGOR UNIVERSITY,South Ayrshire,Salaried,Health,127269,1,Self Business:Accounting,Self Business:Law,Salaried:Engineering,0
Female,41,2013,88,Arts,UNIVERSITY OF KEELE,Hampshire,Salaried,Engineering,79451,1,Self Business:IT,Salaried:IT,Contractual:IT,1
Non-binary,48,2020,59,STEM,LONDON BUSINESS SCHOOL,Norfolk,None,None,0,1,Salaried:Accounting,Salaried:Engineering,Contractual:Transportation,0
Female,42,2017,41,Arts,UNIVERSITY OF DURHAM,Aberdeen City,Self Business,Engineering,98145,0,NA,NA,NA,0
Non-binary,44,2022,75,STEM,CANTERBURY CHRIST CHURCH UNIVERSITY,Fife,None,None,0,1,Contractual:Transportation,Self Business:Law,Self Business:Arts,0
Trans,45,2003,55,Law,GLYNDWR UNIVERSITY,Warwickshire,Contractual,Accounting,53499,0,NA,NA,NA,0
Trans,46,2019,73,Business,LONDON BUSINESS SCHOOL,Armagh,Contractual,Law,146419,0,NA,NA,NA,0
Non-binary,42,2004,88,STEM,UNIVERSITY OF WOLVERHAMPTON,Clackmannanshire,Self Business,IT,45933,1,Salaried:Accounting,Salaried:Health,Self Business:Arts,1
Male,43,2003,57,Arts,THE UNIVERSITY OF WESTMINSTER,Northumberland,None,None,0,0,NA,NA,NA,0
Female,41,2003,77,STEM,QUEEN'S UNIVERSITY OF BELFAST,Somerset,Self Business,IT,40823,0,NA,NA,NA,0
Trans,46,2015,65,STEM,"UNIVERSITY OF NORTHAMPTON,THE",North Ayrshire,Contractual,Arts,146504,1,Contractual:Arts,Contractual:Health,Salaried:IT,0
Female,42,2017,87,Law,UNIVERSITY COLLEGE LONDON,Essex,Contractual,Transportation,120247,1,Self Business:Transportation,Salaried:Accounting,Contractual:IT,1
Non-binary,43,2011,82,Business,University College London,Derry and Londonderry,Salaried,Health,0,1,Self Business:IT,Self Business:Arts,Contractual:Law,1
Non-binary,41,2000,45,Law,THE UNIVERSITY OF CHICHESTER,Devon,Self Business,Health,86206,0,NA,NA,NA,0
Trans,43,1998,76,Arts,CARDIFF UNIVERSITY,Somerset,None,None,0,1,Salaried:IT,Salaried:Transportation,Self Business:Engineering,0
Trans,47,2022,43,STEM,UNIVERSITY OF OXFORD,Aberdeen City,Self Business,Engineering,62069,0,NA,NA,NA,0
Trans,42,2010,65,Business,UNIVERSITY OF PORTSMOUTH,West Lothian,Self Business,IT,84842,1,Self Business:Accounting,Salaried:IT,Salaried:Accounting,0
Non-binary,41,2012,68,Business,ROEHAMPTON UNIVERSITY,Argyll and Bute,Contractual,Law,63735,0,NA,NA,NA,0
Trans,44,2015,55,Law,THE UNIVERSITY OF CHICHESTER,Dorset,None,None,94395,1,Self Business:Accounting,Self Business:Arts,Self Business:Transportation,0
Trans,49,2009,61,Arts,THE UNIVERSITY OF CHICHESTER,Dundee City,None,None,0,0,NA,NA,NA,0
Female,45,2003,85,Business,UNIVERSITY OF BEDFORDSHIRE,Cheshire,Salaried,Arts,48008,1,Self Business:Accounting,Salaried:Transportation,Contractual:Health,1
Female,47,2007,56,Arts,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),Flintshire,Contractual,Arts,129355,1,Contractual:Transportation,Salaried:Engineering,Salaried:Engineering,0
Non-binary,43,2011,66,Business,GLASGOW SCHOOL OF ART.,Norfolk,Self Business,Engineering,99987,1,Contractual:IT,Self Business:Engineering,Salaried:IT,0
Trans,43,2017,66,STEM,NEWMAN UNIVERSITY,North Lanarkshire,Contractual,Law,123654,1,Contractual:Transportation,Contractual:Accounting,Contractual:Transportation,0
Trans,41,2002,88,Business,IMPERIAL COLLEGE LONDON,Buckinghamshire,Contractual,Arts,60045,1,Self Business:IT,Salaried:Transportation,Contractual:Transportation,1
Female,46,2016,46,Business,TEESSIDE UNIVERSITY,North Yorkshire,Self Business,Arts,119423,1,Contractual:Accounting,Contractual:Engineering,Contractual:IT,0
